Number,Name,Description,Zone
43,Wraitheon,A ghost-like being that can possess and animate nearby objects,Haunted Mansion
44,Quartzilla,A massive gorilla-like creature with a body made of various quartz crystals,Crystal Caverns
45,Pollinator,A bee-like entity with flower petals for wings and a nectar-producing body,Enchanted Forest
46,Gloomhound,A canine creature made of solidified darkness with glowing white spots like stars,Shadow Realm
47,Prismascale,A fish-like being that refracts light through its scales creating rainbow patterns,Celestial Plane
48,Sludgeon,A humanoid figure made of toxic sludge with glowing green eyes,Mutant Sewers
49,Brainwave,A cloud-like entity in the shape of a brain with electrical synapses visible,Psychic Realm
50,Magnetron,A robotic creature that can reshape its body using magnetic fields,Industrial Wasteland
51,Deciboom,A bat-like creature that navigates using destructive sound waves,Harmonic Caverns
52,Asteroidian,A rock-like being that floats and can separate into smaller asteroid-like pieces,Cosmic Void
53,Futuregeist,A spectral figure that flickers between different potential future forms,Temporal Rift
54,Infernog,A dog-like creature with a body of crackling flames and smoke,Volcanic Inferno
55,Krakoon,A hybrid of a kraken and typhoon made of water and storm clouds,Undersea Kingdom
56,Thunderwing,A dragonfly-like creature with wings of storm clouds and a lightning bolt body,Sky Citadel
57,Fernfang,A saber-toothed tiger made of ferns and other prehistoric plants,Prehistoric Jungle
58,Bansheek,A female spirit with a mouth that opens impossibly wide when wailing,Haunted Mansion
59,Obsidian,A golem-like creature made of sharp obsidian shards that can reshape its body,Crystal Caverns
60,Bumblefuzz,A large bumblebee-like creature with fuzzy pollen-covered body and flower-like antennae,Enchanted Forest
61,Voidwalker,A humanoid silhouette filled with a window into deep space,Cosmic Void
62,Miasmax,A gaseous creature that can change its toxicity and effects at will,Toxic Jungle
63,Enigmaniac,A sphinx-like creature that poses riddles and transforms based on the answers,Psychic Realm
64,Geargrind,A bear-like robot with gears for joints and a clock for a heart,Clockwork Citadel
65,Echowl,An owl-like creature made of visible sound waves that can mimic any noise,Harmonic Caverns
66,Blackholer,A dark spherical being that absorbs light and matter around it,Cosmic Void
67,Paradoxapod,A creature that exists in multiple stages of its life cycle simultaneously,Temporal Rift
68,Pyrocoatl,A feathered serpent with a body of dancing flames,Volcanic Inferno
69,Jellyzap,A jellyfish-like creature that conducts electricity through its tentacles,Undersea Kingdom
70,Nimbulon,A cloud-like being that can change weather patterns at will,Sky Citadel
71,Scorchclaw,A scorpion-like creature with a sun-hot stinger and sandy exoskeleton,Desert Oasis
72,Iciclaw,A saber-toothed cat made of ice with frost-breath and icicle fangs,Frozen Tundra
73,Pixelton,A shapeshifting creature made of colorful voxels that can take any 8-bit form,Cyberpunk Metropolis
74,Poltergeist,An invisible entity that can be seen only through the objects it possesses,Haunted Mansion
75,Crystalix,A fox-like creature with a crystalline body that refracts light unpredictably,Crystal Caverns
76,Honeyguard,A bear-like creature made of living honeycomb with bee minions,Enchanted Forest
77,Nightshade,A plant-animal hybrid that blooms in darkness and wilts in light,Shadow Realm
78,Luminoth,A moth-like creature with bioluminescent patterns that change color,Celestial Plane
79,Contaminator,A blob-like being that assimilates and mutates anything it touches,Mutant Sewers
80,Telepathine,A telepathic feline with multiple faces showing different emotions,Psychic Realm
81,Chromeon,A chameleon-like robot that can change its metal composition at will,Industrial Wasteland
82,Resonator,A crystalline humanoid that amplifies and shapes sound waves around it,Harmonic Caverns
83,Nebulite,A conglomeration of cosmic gases loosely held in a humanoid shape,Cosmic Void
84,Timewinder,A clock-faced serpent that can loop short segments of time,Temporal Rift
85,Forestfire,A deer-like creature with a body of glowing embers and antlers of flame,Volcanic Inferno
86,Abyssaloth,A bioluminescent anglerfish-humanoid hybrid from the deep sea,Undersea Kingdom
87,Stratostrider,A long-legged avian that walks among the clouds,Sky Citadel
88,Petrifern,A human-shaped collection of prehistoric plants that can fossilize at will,Prehistoric Jungle
89,Ectoplasmold,A shape-shifting blob of ectoplasm that can mimic ghostly forms,Haunted Mansion
90,Gemheart,A golem with a body of rough stone but a core of precious gems,Crystal Caverns
91,Wispwillow,A tree-like being with branches of ghostly blue flames,Enchanted Forest
92,Umbragon,A dragon made of pure darkness that breathes shadows,Shadow Realm
93,Radiobloom,A sunflower-like creature that emits various forms of radiation,Toxic Jungle
94,Mnemontaur,A minotaur-like being with maze-patterned skin that stores memories,Psychic Realm
95,Cogwheel,A wheel-shaped robot that can reconfigure its cogs and gears,Clockwork Citadel
96,Symphonix,A conductor-like entity that controls lesser music-based creatures,Harmonic Caverns
97,Pulsaron,A star-like creature that rhythmically pulses with different colors and intensities,Cosmic Void
98,Retrograde,A humanoid that ages backwards and can grant youth or age to others,Temporal Rift
99,Quantumquid,A squid-like being that exists in multiple states simultaneously,Cosmic Void
100,Chronoceros,A rhinoceros-like creature with clock-face eyes and time-altering horn,Temporal Rift
